2023-03-07 10:27:33,492 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-03-07 10:27:33,524 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-03-07 10:27:33,525 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-03-07 10:27:33,526 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-03-07 10:27:33,533 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-03-07 10:27:33,534 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-03-07 10:27:33,535 INFO  SwAddin.cs: 201 - Setting up command manager
2023-03-07 10:27:33,535 INFO  SwAddin.cs: 204 - Adding command manager
2023-03-07 10:27:33,539 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-03-07 10:27:33,541 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-03-07 10:27:33,541 INFO  SwAddin.cs: 210 - Adding event handlers
2023-03-07 10:27:33,557 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-03-07 10:27:55,531 INFO  SwAddin.cs: 294 - Assembly export called for file ±×©Ynew
2023-03-07 10:27:55,532 INFO  SwAddin.cs: 299 - Save is required
2023-03-07 10:27:55,532 INFO  SwAddin.cs: 313 - Saving assembly
2023-03-07 10:27:55,533 INFO  SwAddin.cs: 316 - Opening property manager
2023-03-07 10:27:55,539 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ±×©Ynew
2023-03-07 10:27:55,542 INFO  ExportHelperExtension.cs: 1136 - Found 21 in ±×©Ynew
2023-03-07 10:27:55,542 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in ±×©Ynew
2023-03-07 10:27:55,542 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-03-07 10:27:55,543 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2023-03-07 10:27:55,544 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from _X2_659C576188689762_X0_-1
